Andy's Kars Limited,Cambridge,CB23,Other,Employer,www.andys-kars.co.uk
Angel Caf�,Diss,IP22,"Hospitality, Leisure and Tourism",Committed,
Angel Call Handling ,Andover,SP10,Contact Centres,Committed,www.angelcallhandling.co.uk
Angel Fashions,Leicester ,LE1,Retail/Sales,Committed,www.amazon.co.uk
Angel Human Resources Limited,London,SE1,Recruitment Agencies,Committed,www.angelhr.org
Angel Human Resources Ltd,London,SE1,Recruitment Agencies,Committed,www.angelhr.org
Angel Lane Chippie,Penrith ,CA11,"Hospitality, Leisure and Tourism",Committed,www.angellanechippie.co.uk
Angela Crawley MP,Hamilton,ML3,Administration/Office including Public sector,Committed,www.parliament.uk
Angelcare,Halifax,HX1,Care/Childcare/Social Care,Committed,angelcarebaby.com
Angelic Clips ,Tyne and Wear,NE29,Other,Committed,www.thomsonlocal.com
Angel's Rest Cafe ,Halifax,HX1,"Voluntary, Charity & Social Enterprise",Committed,
Anglia Professional Training ,Peterborough,PE3,Education / Teaching,Committed,apt4u.training
Anglia Ruskin University,Essex,CM2,Education / Teaching,Employer,www.anglia.ac.uk
Anglian Community Enterprise,Colchester,CO4,Health,Employer,www.acecic.co.uk
Anglian Water,Huntingdon,PE29,Energy & Utilities,Committed,www.anglianwater.co.uk
Angling Therapy Plymouth ,Plymouth,PL1,"Hospitality, Leisure and Tourism",Committed,www.anglingtherapyplymouth.co.uk
Anglo-European College of Chiropractic,Dorset,BH5,Education / Teaching,Employer,www.aecc.ac.uk
Angus Council,Forfar,DD8,Administration/Office including Public sector,Employer,www.angus.gov.uk
Animal Ark Travelling Zoo ,Maltby,S66,"Voluntary, Charity & Social Enterprise",Committed,www.travellingzoo.co.uk
Animal Care ,Lancaster,LA1,"Voluntary, Charity & Social Enterprise",Committed,www.animalcare-lancaster.co.uk
Animal Equality,London,N1,"Voluntary, Charity & Social Enterprise",Employer,animalequality.org
Animal Farm Family Theme Park ,Somerset,TA8,Retail/Sales,Committed,www.animal-farm.co.uk
Animal Jobs Direct,London,WC1N,Education / Teaching,Committed,www.animaljobsdirect.com
